yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro,salary
1985,AL,TOR,TOR,E,1,161,80.0,99,62,Y,,N,N,759,5508,1482,281,53,158,503,807.0,144.0,77.0,,,588,533,3.31,18,9,47,4344,1312,147,484,823,125,164.0,0.98,Toronto Blue Jays,Exhibition Stadium,2468925.0,104,103,TOR,TOR,TOR,8812550
1985,AL,NYA,NYY,E,2,161,80.0,97,64,N,,N,N,839,5458,1458,272,31,176,620,771.0,155.0,53.0,,,660,590,3.69,25,9,49,4320,1373,157,518,907,123,172.0,0.97,New York Yankees,Yankee Stadium II,2214587.0,98,97,NYY,NYA,NYA,14238204
1985,AL,DET,DET,E,3,161,81.0,84,77,N,,N,N,729,5575,1413,254,45,202,526,926.0,75.0,41.0,,,688,612,3.78,31,11,40,4368,1313,141,556,943,141,152.0,0.97,Detroit Tigers,Tiger Stadium,2286609.0,100,98,DET,DET,DET,10348143
1985,AL,BAL,BAL,E,4,161,81.0,83,78,N,,N,N,818,5517,1451,234,22,214,604,908.0,69.0,43.0,,,764,694,4.38,32,6,33,4281,1480,160,568,793,115,168.0,0.98,Baltimore Orioles,Memorial Stadium,2132387.0,97,97,BAL,BAL,BAL,11560712
1985,AL,BOS,BOS,E,5,163,81.0,81,81,N,,N,N,800,5720,1615,292,31,162,562,816.0,66.0,27.0,,,720,659,4.06,35,8,29,4383,1487,130,540,913,145,161.0,0.97,Boston Red Sox,Fenway Park II,1786633.0,104,104,BOS,BOS,BOS,10897560
1985,AL,ML4,MIL,E,6,161,80.0,71,90,N,,N,N,690,5568,1467,250,44,101,462,746.0,69.0,34.0,,,802,701,4.39,34,5,37,4311,1510,175,499,777,142,153.0,0.97,Milwaukee Brewers,County Stadium,1360265.0,100,101,MIL,MIL,MIL,11284107
1985,AL,CLE,CLE,E,7,162,81.0,60,102,N,,N,N,729,5527,1465,254,31,116,492,817.0,132.0,72.0,,,861,775,4.91,24,7,28,4263,1556,170,547,702,141,161.0,0.97,Cleveland Indians,Cleveland Stadium,655181.0,99,100,CLE,CLE,CLE,6551666
1985,AL,KCA,KCR,W,1,162,82.0,91,71,Y,,Y,Y,687,5500,1384,261,49,154,473,840.0,128.0,48.0,,,639,567,3.49,27,11,41,4383,1433,103,463,846,127,160.0,0.98,Kansas City Royals,Royals Stadium,2162717.0,100,100,KCR,KCA,KCA,9321179
1985,AL,CAL,ANA,W,2,162,79.0,90,72,N,,N,N,732,5442,1364,215,31,153,648,902.0,106.0,51.0,,,703,633,3.91,22,8,41,4371,1453,171,514,767,112,202.0,0.98,California Angels,Anaheim Stadium,2567427.0,100,100,CAL,CAL,CAL,14427894
1985,AL,CHA,CHW,W,3,163,81.0,85,77,N,,N,N,736,5470,1386,247,37,146,471,843.0,108.0,56.0,,,720,656,4.07,20,8,39,4353,1411,161,569,1023,111,152.0,0.98,Chicago White Sox,Comiskey Park,1669888.0,104,104,CHW,CHA,CHA,9846178
1985,AL,MIN,MIN,W,4,162,84.0,77,85,N,,N,N,705,5509,1453,282,41,141,502,779.0,68.0,44.0,,,782,710,4.48,41,7,34,4278,1468,164,462,767,120,139.0,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,1651814.0,105,105,MIN,MIN,MIN,5764821
1985,AL,OAK,OAK,W,4,162,79.0,77,85,N,,N,N,757,5581,1475,230,34,155,508,861.0,117.0,58.0,,,787,712,4.41,10,6,41,4359,1451,172,607,785,140,137.0,0.97,Oakland Athletics,Oakland Coliseum,1334599.0,92,92,OAK,OAK,OAK,9058606
1985,AL,SEA,SEA,W,6,162,83.0,74,88,N,,N,N,719,5521,1410,277,38,171,564,942.0,94.0,35.0,,,818,745,4.68,23,8,30,4296,1456,154,637,868,122,156.0,0.98,Seattle Mariners,Kingdome,1128696.0,100,101,SEA,SEA,SEA,4613000
1985,AL,TEX,TEX,W,7,161,80.0,62,99,N,,N,N,617,5361,1359,213,41,129,530,819.0,130.0,76.0,,,785,715,4.56,18,5,33,4233,1479,173,501,863,119,145.0,0.98,Texas Rangers,Arlington Stadium,1112497.0,101,102,TEX,TEX,TEX,7676500
1985,NL,SLN,STL,E,1,162,81.0,101,61,Y,,Y,N,747,5467,1446,245,59,87,586,853.0,314.0,96.0,,,572,504,3.1,37,20,44,4392,1343,98,453,798,108,166.0,0.98,St. Louis Cardinals,Busch Stadium II,2637563.0,100,99,STL,SLN,SLN,11817083
1985,NL,NYN,NYM,E,2,162,81.0,98,64,N,,N,N,695,5549,1425,239,35,134,546,872.0,117.0,53.0,,,568,514,3.11,32,19,37,4464,1306,111,515,1039,115,138.0,0.98,New York Mets,Shea Stadium,2761601.0,99,97,NYM,NYN,NYN,10834762
1985,NL,MON,WSN,E,3,161,81.0,84,77,N,,N,N,633,5429,1342,242,49,118,492,880.0,169.0,77.0,,,636,575,3.55,13,13,53,4371,1346,99,509,870,121,152.0,0.98,Montreal Expos,Stade Olympique,1502494.0,95,95,MON,MON,MON,9470166
1985,NL,CHN,CHC,E,4,162,81.0,77,84,N,,N,N,686,5492,1397,239,28,150,562,937.0,182.0,49.0,,,729,667,4.16,20,8,42,4326,1492,156,519,820,134,150.0,0.97,Chicago Cubs,Wrigley Field,2161534.0,110,110,CHC,CHN,CHN,12702917
1985,NL,PHI,PHI,E,5,162,81.0,75,87,N,,N,N,667,5477,1343,238,47,141,527,1095.0,122.0,51.0,,,673,592,3.68,24,9,30,4341,1424,115,596,899,139,142.0,0.97,Philadelphia Phillies,Veterans Stadium,1830350.0,103,103,PHI,PHI,PHI,10124966
1985,NL,PIT,PIT,E,6,161,80.0,57,104,N,,N,N,568,5436,1340,251,28,80,514,842.0,110.0,60.0,,,708,637,3.97,15,6,29,4335,1406,107,584,962,133,127.0,0.97,Pittsburgh Pirates,Three Rivers Stadium,735900.0,99,100,PIT,PIT,PIT,9227500
